asset_id,exchange_code,symbol,name_cn,source_status,final_rule_status,rule_parseable,special_review_flag,special_review_reason,static_rule_missing_fields,tick_size,contract_month_rule,contract_rule_code,last_trading_day_rule,settlement_type,delivery_rule,margin_rule,price_limit_rule,position_limit_rule,official_source_url,notes,suggested_next_step
FUT_CZCE_OI,CZCE,OI,菜油,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PF,CZCE,PF,短纤,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PK,CZCE,PK,花生,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,"1,3,4,5,10,11,12",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PL,CZCE,PL,丙烯,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PM,CZCE,PM,普麦,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.4; margin_rate_short=0.4; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PR,CZCE,PR,瓶片,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PX,CZCE,PX,对二甲苯,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_RI,CZCE,RI,早籼稻,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.25; margin_rate_short=0.25; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_RM,CZCE,RM,菜粕,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,"1,3,5,7,8,9,11",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_RO,CZCE,RO,菜油,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,SPECIAL_OR_INACTIVE_NEED_REVIEW,N,Y,SPECIAL_OR_INACTIVE_OR_NON_STANDARD_CONTRACT_NEED_REVIEW,tick_size;last_trading_day_rule;settlement_type;delivery_rule,TODO,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review,需要确认该品种是否仍属于有效套利资产池，若为历史或特殊合约可单独标记或剔除。
FUT_CZCE_RS,CZCE,RS,菜籽,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,"7,8,9,11",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.4; margin_rate_short=0.4; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_SA,CZCE,SA,纯碱,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.09; margin_rate_short=0.09; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_SF,CZCE,SF,硅铁,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.08; margin_rate_short=0.08; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_SH,CZCE,SH,烧碱,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.08; margin_rate_short=0.08; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_SM,CZCE,SM,锰硅,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.08; margin_rate_short=0.08; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_SR,CZCE,SR,白糖,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.06; margin_rate_short=0.06; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_TA,CZCE,TA,PTA,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_TC,CZCE,TC,动力煤,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,SPECIAL_OR_INACTIVE_NEED_REVIEW,N,Y,SPECIAL_OR_INACTIVE_OR_NON_STANDARD_CONTRACT_NEED_REVIEW,tick_size;last_trading_day_rule;settlement_type;delivery_rule,TODO,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review,需要确认该品种是否仍属于有效套利资产池，若为历史或特殊合约可单独标记或剔除。
FUT_CZCE_UR,CZCE,UR,尿素,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.08; margin_rate_short=0.08; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_WH,CZCE,WH,强麦,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.4; margin_rate_short=0.4; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
