品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,CZCE,郑州商品交易所,FG,玻璃,171,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,FG,玻璃主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,FG,玻璃连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,JR,粳稻,80,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,JR,粳稻主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,JR,粳稻连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,LR,晚籼稻,67,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,LR,晚籼稻主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,LR,晚籼稻连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,ME,甲醇,39,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,ME,甲醇主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,ME,甲醇连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PF,短纤,73,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PF,短纤主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PF,短纤连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PK,花生,39,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PK,花生主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PK,花生连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PL,丙烯,17,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PL,丙烯主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PL,丙烯连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PM,普麦,87,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PM,普麦主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PM,普麦连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PR,瓶片,27,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PR,瓶片主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PR,瓶片连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PX,对二甲苯,37,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PX,对二甲苯主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,PX,对二甲苯连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RI,早籼稻,84,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RI,早籼稻主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RI,早籼稻连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RO,菜油,36,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RO,菜油主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RO,菜油连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RS,菜籽,56,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RS,菜籽主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RS,菜籽连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SA,纯碱,85,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SA,纯碱主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SA,纯碱连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SF,硅铁,151,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SF,硅铁主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SF,硅铁连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SH,烧碱,37,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SH,烧碱主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SH,烧碱连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SM,锰硅,151,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SM,锰硅主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SM,锰硅连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TC,动力煤,29,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TC,动力煤主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TC,动力煤连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,UR,尿素,89,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,UR,尿素主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,UR,尿素连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WH,强麦,84,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WH,强麦主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WH,强麦连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WS,强麦,61,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WS,强麦主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WS,强麦连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WT,硬麦,84,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,WT,硬麦主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,ZC,动力煤,133,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,ZC,动力煤主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,ZC,动力煤连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,BB,胶合板,144,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,BB,胶合板主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,BB,胶合板连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,BZ,纯苯,14,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,BZ,纯苯主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,BZ,纯苯连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,CS,玉米淀粉,74,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,CS,玉米淀粉主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,CS,玉米淀粉连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,EB,苯乙烯,85,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,EB,苯乙烯主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,EB,苯乙烯连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,EG,乙二醇,95,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,EG,乙二醇主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,EG,乙二醇连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,FB,纤维板,158,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,FB,纤维板主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,FB,纤维板连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,I,铁矿石,159,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,I,铁矿石主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,I,铁矿石连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,J,焦炭,189,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,J,焦炭主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,J,焦炭连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,JD,鸡蛋,152,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,JD,鸡蛋主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,JD,鸡蛋连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,JM,焦煤,167,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,JM,焦煤主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,JM,焦煤连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,L,塑料,236,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,L,塑料主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,L,塑料连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,LG,原木,11,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,LG,原木主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,LG,原木连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,LH,生猪,34,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,LH,生猪主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,LH,生猪连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,L_F,塑料月均价F,10,中,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,L_F,塑料月均价主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,L_F,塑料月均价连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PG,LPG,78,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PG,LPG主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PG,LPG连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PP,聚丙烯,157,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PP,聚丙烯主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PP,聚丙烯连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PP_F,聚丙烯月均价F,10,中,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PP_F,聚丙烯月均价主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,PP_F,聚丙烯月均价连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,RR,粳米,89,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,RR,粳米主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,RR,粳米连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,V,PVC,213,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,V,PVC主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,V,PVC连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,V_F,PVC月均价F,10,中,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,V_F,PVC月均价主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,V_F,PVC月均价连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,LC,碳酸锂,41,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,LC,碳酸锂主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,LC,碳酸锂连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PD,钯,6,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PD,钯主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PD,钯连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PS,多晶硅,24,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PS,多晶硅主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PS,多晶硅连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PT,铂,6,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PT,铂主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,PT,铂连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,SI,工业硅,46,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,SI,工业硅主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,GFEX,广州期货交易所,SI,工业硅连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,BC,国际铜,75,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,BC,国际铜主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,BC,国际铜连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,EC,集运指数(欧线),21,中,,,,,,,不适用,现金交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,EC,集运指数(欧线)主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,EC,集运指数(欧线)连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SCTAS,原油TAS,79,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SCTAS,原油TAS指令主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SCTAS,原油TAS指令连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AD,铸造铝合金,19,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AD,铸造铝合金主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AD,铸造铝合金连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AO,氧化铝,43,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AO,氧化铝主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AO,氧化铝连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,BR,丁二烯橡胶,41,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,BR,丁二烯橡胶主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,BR,丁二烯橡胶连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,BU,沥青,164,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,BU,沥青主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,BU,沥青连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,OP,双胶纸,17,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,OP,双胶纸主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,OP,双胶纸连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SP,纸浆,96,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SP,纸浆主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SP,纸浆连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SS,不锈钢,88,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SS,不锈钢主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,SS,不锈钢连续,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,WR,线材,213,中,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,WR,线材主力,1,中,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
