品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,CZCE,郑州商品交易所,RM,菜粕,99,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RM,菜粕主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,RM,菜粕连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SR,白糖,127,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SR,白糖主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,SR,白糖连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TA,PTA,244,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TA,PTA主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,CZCE,郑州商品交易所,TA,PTA连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,A,豆一,171,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,A,豆一主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,A,豆一连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,B,豆二,188,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,B,豆二主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,B,豆二连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,C,玉米,135,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,C,玉米主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,C,玉米连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,M,豆粕,204,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,M,豆粕主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,M,豆粕连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,P,棕榈油,233,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,P,棕榈油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,P,棕榈油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,Y,豆油,170,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,Y,豆油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,DCE,大连商品交易所,Y,豆油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,LU,低硫燃料油,77,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,LU,低硫燃料油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,LU,低硫燃料油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,NR,号胶,88,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,NR,号胶主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,NR,号胶连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SC,原油,113,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SC,原油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,INE,上海国际能源交易中心,SC,原油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AG,沪银,177,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AG,沪银连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AG,白银主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AL,沪铝,385,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AL,沪铝主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AL,沪铝连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AU,沪金,224,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AU,沪金连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,AU,黄金主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,CU,沪铜,385,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,CU,沪铜主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,CU,沪铜连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,FU,燃油,255,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,FU,燃油主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,FU,燃油连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,HC,热轧卷板,155,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,HC,热轧卷板主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,HC,热轧卷板连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,NI,沪镍,143,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,NI,沪镍主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,NI,沪镍连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,PB,沪铅,189,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,PB,沪铅主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,PB,沪铅连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RB,螺纹钢,213,高,,,,,,,不适用,实物交割,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RB,螺纹钢主力,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
FUTURE,SHFE,上海期货交易所,RB,螺纹钢连续,1,高,,,,,,,不适用,,,待人工核验,请按交易所官网合约细则补充，不要按单个合约逐行填写
