asset_id,asset_type,subtype,etf_code,ts_code,name_cn,name_en,exchange_code,exchange_name,country,currency,fund_company,fund_type,invest_type,tracking_index_code,tracking_index_name,underlying_group,nav_available,premium_discount_available,can_subscribe_redeem,creation_redemption_unit,pcfl_available,tradable,can_long,can_short,data_source_1,data_source_2,source_status,update_date,notes,etf_importance_level,etf_quality_status,etf_category_refined,underlying_group_review_required,underlying_group_review_reason,is_core_arbitrage_etf,is_etf_option_underlying,classification_method
ETF_SZSE_159767,ETF,ETF,159767,159767.SZ,电池龙头ETF兴银,TODO,SZSE,深圳证券交易所,CN,CNY,兴银基金,股票型,被动指数型,CHECK,国证新能源车电池指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,IMPORTANT,IMPORTANT_UNDERLYING_GROUP_NEED_REVIEW,COMMODITY_ETF,Y,COMMODITY_ETF_NEED_UNDERLYING_GROUP_REVIEW,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159768,ETF,ETF,159768,159768.SZ,房地产ETF银华,TODO,SZSE,深圳证券交易所,CN,CNY,银华基金,股票型,被动指数型,CHECK,中证内地地产主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,THEMATIC_OR_SECTOR_ETF,N,THEMATIC_ETF_LATER_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159769,ETF,ETF,159769,159769.SZ,消费电子龙头ETF(退市),TODO,SZSE,深圳证券交易所,CN,CNY,银华基金,股票型,被动指数型,CHECK,中证消费电子主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,THEMATIC_OR_SECTOR_ETF,N,THEMATIC_ETF_LATER_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159770,ETF,ETF,159770,159770.SZ,机器人ETF天弘,TODO,SZSE,深圳证券交易所,CN,CNY,天弘基金,股票型,被动指数型,CHECK,中证机器人指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,THEMATIC_OR_SECTOR_ETF,N,THEMATIC_ETF_LATER_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159773,ETF,BROAD_BASED_ETF,159773,159773.SZ,创业板科技ETF华泰柏瑞,TODO,SZSE,深圳证券交易所,CN,CNY,华泰柏瑞基金,股票型,被动指数型,CHECK,创业板科技指数收益率,CHINEXT,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,IMPORTANT,MAPPED,BROAD_BASED_ETF,N,,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159775,ETF,ETF,159775,159775.SZ,电池ETF建信,TODO,SZSE,深圳证券交易所,CN,CNY,建信基金,股票型,被动指数型,CHECK,国证新能源车电池指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,IMPORTANT,IMPORTANT_UNDERLYING_GROUP_NEED_REVIEW,COMMODITY_ETF,Y,COMMODITY_ETF_NEED_UNDERLYING_GROUP_REVIEW,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159776,ETF,ETF,159776,159776.SZ,港股医药ETF银华,TODO,SZSE,深圳证券交易所,CN,CNY,银华基金,股票型,被动指数型,CHECK,中证港股通医药卫生综合指数收益率(经估值汇率调整),CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,CROSS_BORDER_ETF,N,FOREIGN_MAPPING_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159777,ETF,BROAD_BASED_ETF,159777,159777.SZ,创科技ETF国联安,TODO,SZSE,深圳证券交易所,CN,CNY,国联安基金,股票型,被动指数型,CHECK,创业板科技指数收益率,CHINEXT,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,IMPORTANT,MAPPED,BROAD_BASED_ETF,N,,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159778,ETF,ETF,159778,159778.SZ,工业互联网ETF鹏华,TODO,SZSE,深圳证券交易所,CN,CNY,鹏华基金,股票型,被动指数型,CHECK,中证工业互联网主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,OTHER_ETF,N,NOT_CORE_FOR_CURRENT_STAGE,N,N,NAME_KEYWORD_RULE
ETF_SZSE_159779,ETF,ETF,159779,159779.SZ,消费电子ETF招商,TODO,SZSE,深圳证券交易所,CN,CNY,招商基金,股票型,被动指数型,CHECK,中证消费电子主题指数收益率,CHECK,CHECK,CHECK,CHECK,CHECK,CHECK,Y,Y,CHECK,Tushare,AKShare,ETF_MASTER_TUSHARE_AKSHARE_NEED_REVIEW,2026-05-22,基于 Tushare fund_basic 场内基金自动筛选 ETF，ETF 申赎清单和折溢价字段后续补充。,LATER_STAGE,NON_CORE_UNDERLYING_GROUP_NOT_REQUIRED_NOW,THEMATIC_OR_SECTOR_ETF,N,THEMATIC_ETF_LATER_STAGE,N,N,NAME_KEYWORD_RULE
